link,heading,intent,entities
/hc/en-us/articles/360007344859-Archive-or-delete-a-section,Archive or delete a section, projects, archive/delete section
/hc/en-us/articles/360007275580-Add-a-section,Add a section, projects, add;section
/hc/en-us/articles/360007275540-Edit-a-section,Edit a section, projects, edit;section
/hc/en-us/articles/360003788739-Sections,Sections, projects, sections
/hc/en-us/articles/360000188965-Create-a-project,Create a project, projects, create
/hc/en-us/articles/115001862065-Create-a-sub-project,Create a sub-project, projects, create;sub project
/hc/en-us/articles/115005780829-Edit-a-project-name,Edit a project name, projects, edit;name
/hc/en-us/articles/207764925-Change-the-color-of-a-project,Change the color of a project, project, change;color
/hc/en-us/articles/360001085759-How-to-sort-tasks-in-projects,How to sort tasks in projects, project, sort tasks
/hc/en-us/articles/360001929999-Use-a-template-from-todoist-com-templates,Use a template from todoist.com/templates, projects, use template
/hc/en-us/articles/115005780689-Archive-a-Project,Archive a Project, project, archive
/hc/en-us/articles/115001281549-View-archived-projects,View archived projects, projects, view archived
/hc/en-us/articles/115000910469-Delete-a-project,Delete a project, projects, delete
/hc/en-us/articles/360000538849-What-s-the-difference-between-the-Inbox-and-a-project-,What’s the difference between the Inbox and a project?, projects, difference;inbox;project
